display_name,system_name,Description,value_data_type
Dimmability,Dimmability_Cabinet_Spotlights,Dimmability,boolean
Dimmability,Dimmability_Ceiling_Lights,Dimmability,boolean
Dimmability,Dimmability_Chandeliers,Dimmability,boolean
Dimmability,Dimmability_Flush_Mount_Lights,Dimmability,boolean
Dimmability,Dimmability_LED_Puck_Lights,Dimmability,boolean
Dimmability,Dimmability_Pendant_Lights,Dimmability,boolean
Dimmability,Dimmability_Recessed_Lighting,Dimmability,boolean
Dimmability,Dimmability_Strip_Lights,Dimmability,boolean
Dimmability,Dimmability_Task_Lamps,Dimmability,boolean
Dimmability,Dimmability_Under-Cabinet_Lighting,Dimmability,boolean
Dimmability,Dimmability_Wall_Sconces,Dimmability,boolean
Dimming Capability,DimmingCapability_LED_Light_Bars,Dimming Capability,boolean
Dimming Capability,DimmingCapability_LED_Panel_Lights,Dimming Capability,boolean
Dimming Capability,DimmingCapability_LED_Strip_Lights,Dimming Capability,boolean
Dimming Capability,DimmingCapability_RGB_LED_Strips,Dimming Capability,boolean
Dimming Capability,DimmingCapability_Waterproof_LED_Strips,Dimming Capability,boolean
Dimming Compatibility,DimmingCompatibility_Flexible_Track_Lighting,Dimming Compatibility,boolean
Dimming Compatibility,DimmingCompatibility_Linear_Track_Lighting,Dimming Compatibility,boolean
Dimming Compatibility,DimmingCompatibility_Spotlight_Tracks,Dimming Compatibility,boolean
Dimming Compatibility,DimmingCompatibility_Track_Lighting,Dimming Compatibility,boolean
Dimming Compatibility,DimmingCompatibility_Track_Lighting_Systems,Dimming Compatibility,boolean
Dimming Functionality,DimmingFunctionality_Arc_Lamps,Dimming Functionality,boolean
Dimming Functionality,DimmingFunctionality_Bedside_Lamps,Dimming Functionality,boolean
Dimming Functionality,DimmingFunctionality_Buffet_Lamps,Dimming Functionality,boolean
Dimming Functionality,DimmingFunctionality_Desk_Lamps,Dimming Functionality,boolean
Dimming Functionality,DimmingFunctionality_Floor_Lamps,Dimming Functionality,boolean
Dimming Functionality,DimmingFunctionality_Table_Lamps,Dimming Functionality,boolean
Dimming Range,DimmingRange_Dimmer_Switches,Dimming Range,numeric
Energy Efficiency,EnergyEfficiency_Cabinet_Spotlights,Energy Efficiency,text
Energy Efficiency,EnergyEfficiency_LED_Puck_Lights,Energy Efficiency,text
Energy Efficiency,EnergyEfficiency_Strip_Lights,Energy Efficiency,text
